2012-09-11 05:11:04 status half-installed bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 status unpacked bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 status unpacked bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 install busybox-initramfs <none> 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status half-installed busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 install coreutils <none> 8.5-1ubuntu6
2012-09-11 05:11:04 status half-installed coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 status unpacked coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 status unpacked coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 install cpio <none> 2.11-7ubuntu1
2012-09-11 05:11:04 status half-installed cpio 2.11-7ubuntu1
2012-09-11 05:11:04 status unpacked cpio 2.11-7ubuntu1
2012-09-11 05:11:04 status unpacked cpio 2.11-7ubuntu1
2012-09-11 05:11:04 install dash <none> 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status half-installed dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status unpacked dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status unpacked dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 install debconf <none> 1.5.40ubuntu1
2012-09-11 05:11:04 status half-installed debconf 1.5.40ubuntu1
2012-09-11 05:11:04 status unpacked debconf 1.5.40ubuntu1
2012-09-11 05:11:04 status unpacked debconf 1.5.40ubuntu1
2012-09-11 05:11:04 install debianutils <none> 4.0.2
2012-09-11 05:11:04 status half-installed debianutils 4.0.2
2012-09-11 05:11:05 status unpacked debianutils 4.0.2
2012-09-11 05:11:05 status unpacked debianutils 4.0.2
2012-09-11 05:11:05 install diffutils <none> 1:3.0-1
2012-09-11 05:11:05 status half-installed diffutils 1:3.0-1
2012-09-11 05:11:05 status unpacked diffutils 1:3.0-1
2012-09-11 05:11:05 status unpacked diffutils 1:3.0-1
2012-09-11 05:11:05 upgrade dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2012-09-11 05:11:05 status half-configured dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 status half-installed dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 status half-installed dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:05 install e2fslibs <none> 1.41.14-1ubuntu3
2012-09-11 05:11:05 status half-installed e2fslibs 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked e2fslibs 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked e2fslibs 1.41.14-1ubuntu3
2012-09-11 05:11:05 install e2fsprogs <none> 1.41.14-1ubuntu3
2012-09-11 05:11:05 status half-installed e2fsprogs 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked e2fsprogs 1.41.14-1ubuntu3
2012-09-11 05:11:05 status unpacked e2fsprogs 1.41.14-1ubuntu3
2012-09-11 05:11:05 install findutils <none> 4.4.2-1ubuntu3
2012-09-11 05:11:05 status half-installed findutils 4.4.2-1ubuntu3
2012-09-11 05:11:05 status unpacked findutils 4.4.2-1ubuntu3
2012-09-11 05:11:05 status unpacked findutils 4.4.2-1ubuntu3
2012-09-11 05:11:05 install gcc-4.6-base <none> 4.6.1-9ubuntu3
2012-09-11 05:11:05 status half-installed gcc-4.6-base 4.6.1-9ubuntu3
2012-09-11 05:11:05 status unpacked gcc-4.6-base 4.6.1-9ubuntu3
2012-09-11 05:11:05 status unpacked gcc-4.6-base 4.6.1-9ubuntu3
2012-09-11 05:11:05 install grep <none> 2.9-1
2012-09-11 05:11:05 status half-installed grep 2.9-1
2012-09-11 05:11:05 status unpacked grep 2.9-1
2012-09-11 05:11:05 status unpacked grep 2.9-1
